,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.0,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11,-3.8075984485772834e-11
0.01,1.4986520701625184e-06,8.374660390834419e-08,5.020797881710425e-08,1.2533630503343596e-07,1.1604723145769903e-07,4.8876889553382244e-08,8.088466328931527e-08,5.693275242008889e-08,7.08497912587892e-08,1.878755040842874e-07,9.009671104619959e-08,5.8200507194432043e-08,1.450127585031599e-07,6.55826980297955e-08,4.8758555968668063e-08,6.188190037304949e-08,8.738329185163476e-08,5.7956119915638044e-08,1.2807634406468792e-07,3.8949357268740484e-08,8.541314400595304e-08,8.640951168554571e-08,7.710519528942913e-08,3.907885376112464e-08,6.520977657714036e-08,7.125023114442028e-08,8.301209631643758e-08,5.7498022834124546e-08,1.018746389272058e-07,1.0024627220603235e-07,1.5505443875867912e-08,6.283747796304654e-08,9.510926376225626e-08,4.6755009005709965e-08,3.804028367483531e-08,6.32601109853196e-08,8.445040014190003e-08,6.207653434208816e-08,6.60801682987547e-08,1.6911001731614488e-07,5.768239715090904e-08,8.743080066002812e-08,4.9315743947501415e-08,1.2731329270415535e-07,3.318059058489944e-08,3.577953539033115e-08,7.998425624363865e-08,5.7051368981518185e-08,1.2182323672334115e-07,6.695407176390074e-08,1.5148322222081637e-08,3.16035802550085e-08,4.1650821552917485e-08,1.686199866003121e-08,8.555350502703478e-08,1.333171124912165e-07,9.569966134769145e-08,6.320645971822702e-08,1.0257995532401671e-07,1.2711376672732936e-07,1.310430550256714e-07,8.415205670683122e-08,5.440498868765822e-08,8.86364447915897e-08,1.1041961835787897e-07,3.033501674359774e-08,4.973563675694321e-08,1.827507365353889e-07,1.0393380099515029e-07,4.544884541512828e-08,-1.7027054043598448e-08,7.111060103933678e-08,1.0773760504484917e-07,-1.4833453291088947e-08,2.022202251040843e-08,1.2175482435777511e-07,1.3931447553909812e-08,9.524652085343354e-08,3.503248158688067e-08,5.400974373715254e-08,6.351149644922403e-08,4.76153196563579e-08,1.068590057309391e-07,2.9593801856065958e-08,1.47122397983497e-07,3.327229770192188e-08,5.610253356242385e-08,3.4953815573127374e-09,2.638934880590066e-08,6.098619999755187e-08,8.53042128310248e-08,7.414904365586702e-08,5.4912388399841843e-08,4.3134484620773854e-08,1.1127109305092317e-07,9.612669528632506e-08,7.167387384334961e-08,7.428822371997464e-08,8.244908078848938e-08,3.603858001526386e-08
0.02,7.775929481601708e-06,4.857842304231198e-07,5.617098453318094e-07,4.827716160018894e-07,3.273599588262263e-07,3.4007355475454444e-07,3.692356204570652e-07,2.9855482648747124e-07,2.1353123315181467e-07,2.2109255472260828e-07,6.289282360923674e-07,3.9215440117034627e-07,6.270286811942901e-07,3.9750960555572494e-07,4.0533601079164253e-07,5.707950094382751e-07,1.762083381362865e-07,2.131863452901417e-07,4.123888117459492e-07,3.912629828324597e-07,1.717300324186875e-07,7.033510275595405e-07,3.4803752176186346e-07,2.280720073408179e-07,9.797592718179884e-08,2.3908154084082734e-07,3.2034100854290807e-07,4.712640049783513e-07,2.882971172810139e-07,2.8153078340246404e-07,3.752710764506429e-07,2.65397472683504e-07,2.785196304534084e-07,-1.2822294823663898e-07,2.395417380602759e-07,5.373166460543387e-07,6.103813686110806e-07,6.973098780048892e-07,9.678230332022108e-08,2.3206295841093664e-07,2.753872380568743e-07,2.731026132701522e-07,5.770075903494759e-07,4.728267266789613e-07,5.256265112380621e-07,2.7880443272639313e-07,2.8741328678803796e-07,4.0511913006963816e-07,4.5097208852285043e-07,1.487324131788428e-07,2.942726654031407e-07,2.446989687187185e-07,4.027701135410335e-07,3.893666689792478e-07,3.307813701212401e-07,1.4326904498590237e-07,3.640574309358486e-07,2.8861093378636314e-07,1.7158446223194376e-07,1.0615097142480625e-07,4.849040169349754e-07,2.911230672311461e-07,1.543524126096616e-07,2.2542058750906016e-07,2.6623164799142624e-07,3.1017639730294456e-07,4.325227171423837e-07,4.7542149610287224e-07,2.5567206570447575e-07,2.7516069703387705e-07,2.819236518958957e-07,3.695533906216582e-07,2.1008306592920302e-07,3.0305374168299794e-09,1.433209935875221e-07,2.757465313452984e-07,1.641707077656941e-07,4.6661437551612667e-07,5.592760111680358e-07,1.833773555463813e-07,4.405282021205326e-07,5.200333406265508e-07,3.6335521545124754e-07,3.4590122647402986e-07,3.079867890674189e-07,4.2923648314553275e-07,3.57508231709553e-07,2.4398037146656297e-07,2.393495707077395e-07,1.791546651331811e-07,1.9761609970738353e-07,2.7895550528535953e-07,2.1965187083928658e-07,7.171662216985156e-08,4.4453878852524675e-07,3.39572654941718e-07,2.5426954965496533e-07,3.621453901224227e-07,3.676955892825168e-07,2.3511950431055558e-07
0.03,1.1401602613023502e-05,4.7590737729556817e-07,9.679528127982187e-07,1.080213294366439e-06,7.750373776834373e-07,6.658447499331969e-07,9.39936059302008e-07,8.28406357273517e-07,3.755270357602846e-07,9.612330229362036e-07,4.1674848017625735e-07,7.174171611522478e-07,8.912920336959326e-07,6.010996864024147e-07,5.477386310506204e-07,8.765445624647769e-07,6.520286169653329e-07,7.695358347156068e-07,6.333284266881271e-07,8.543797577760618e-07,9.372097606276547e-07,1.172966477323666e-07,1.830595167392108e-06,7.874431425535468e-07,8.390015711786165e-07,4.904514037394173e-07,4.359296521830946e-07,8.98038658596302e-07,1.0596227848736902e-06,4.3427346085993526e-07,5.024864503908409e-07,7.501238668034065e-07,5.184434954908357e-07,6.782475200956106e-07,5.759475480576592e-07,5.89147612512913e-07,4.179168260530131e-07,5.949973651700609e-07,6.394046540838912e-07,8.044878206689457e-07,3.5248245876346776e-07,1.0004767239865608e-06,4.994576918023388e-07,4.1713659131893973e-07,5.041998863114821e-07,8.524201366426362e-07,3.232707695510474e-08,4.914425425945378e-07,7.258977955003301e-07,3.1406132269285005e-07,6.505120541903657e-07,4.2051580608828846e-07,6.421991232928105e-07,1.0001622249936833e-06,5.401211770740493e-07,5.870482666988599e-07,1.0235313126259484e-06,9.736545163102183e-07,8.527040122965897e-07,2.905486647753153e-07,5.071308460622687e-07,4.988241335242403e-07,1.2556646429065414e-06,3.9086949010881473e-07,1.2655886005820289e-06,7.098059990503249e-07,5.301721832298998e-07,6.763674100243694e-07,3.532673583091357e-07,7.058990998195815e-07,7.427026084381489e-07,1.1088957519662918e-06,1.0594007524314122e-06,7.006109286281221e-07,1.2951730151819283e-07,6.64988769871477e-07,4.4780930290982333e-07,8.186820348006913e-07,2.544338765043723e-07,4.1636416577244166e-07,6.666664270223816e-07,1.0785957050955728e-06,1.1671111854934763e-06,4.2329989202229726e-07,6.902946536925777e-07,1.4276184467281626e-06,3.472576556618261e-07,2.6624410139492327e-07,7.678101179050003e-07,1.4981993633050845e-07,6.412535875144591e-07,4.910173700061859e-07,3.932565332252789e-07,3.874736449140403e-07,8.491113231610082e-07,1.0458547271413624e-06,1.4520082511891856e-07,7.776721907969729e-07,2.7692861051440323e-07,8.146187285049595e-07
0.04,1.8643250124478408e-05,2.081412132261415e-06,8.637107101921337e-07,1.460957322930164e-06,1.057848066016357e-06,1.8810311160508744e-06,-1.066509630155383e-07,1.0364044827482036e-06,5.37526057110483e-07,1.0969227452353297e-06,7.053959693949671e-07,3.728992119622336e-07,8.464028108081678e-07,1.1849834116962994e-06,4.890612524013777e-07,2.0318601915505923e-06,2.2124639255235264e-06,1.3347185888122896e-06,1.374886845350418e-06,1.3271287431358774e-06,5.277180195748534e-07,1.5122698202776886e-06,1.5790282659945058e-06,5.408120960601441e-07,1.8083443621311708e-06,1.0107286906126318e-06,1.1825638257646871e-07,3.4557424412283553e-07,4.917740486652889e-07,1.7521853802438437e-06,8.368315300936471e-07,1.471839041469436e-06,4.947207661533526e-07,8.076389060583416e-07,1.585397230293649e-06,1.763866513502174e-06,1.132003432884618e-06,1.3322978743656072e-06,9.13642207654834e-07,1.4031221282557986e-06,1.0837620104231473e-06,1.8648059817877107e-06,6.38055079186218e-07,1.5707675210740179e-06,8.125025869910148e-07,8.020788614167e-07,1.4592591186941794e-06,1.8182498608751354e-06,6.002657592686874e-07,1.8695360490941717e-06,1.6578101061443787e-06,1.0290869941775704e-06,1.3277743418997345e-06,1.4380688295662614e-06,1.7787857783300812e-06,2.1771491824763308e-07,3.9733312180436093e-07,1.3316979222171328e-06,1.586215077181104e-06,6.794129271730414e-07,3.9755107592218853e-07,9.202514990295404e-07,1.5168180902722447e-06,1.4839307414340054e-06,1.7852902065613676e-06,9.079957123787808e-07,1.0805528667293642e-06,2.2698939909903358e-06,1.8618352404240917e-06,6.454266837400517e-07,1.0234156774795645e-06,1.3440780472309557e-06,9.561943593906467e-07,6.666871138438156e-07,1.3241029125394047e-06,1.6464155780244176e-06,9.259686512084408e-07,1.0515107477452697e-06,4.816633693785854e-07,7.679672717760337e-07,2.4427066628328567e-06,8.972913919636639e-07,1.8248184937068032e-06,1.7373555531065683e-06,1.4362028248968423e-06,1.1383534161492419e-06,1.257742824709093e-07,6.040268572322668e-07,4.888280473503745e-07,1.7379067437885698e-06,1.6901276223886369e-06,1.4835660840998477e-06,4.805387857226828e-07,1.2703664853565706e-06,1.7610591872975667e-06,1.5192906609973627e-06,7.978208945170313e-07,1.4865626437040034e-06,1.4825398500013475e-06,3.9692304808956646e-07
0.05,4.290095384647154e-05,4.799154084920905e-06,2.025533926582814e-06,2.7318863096964866e-06,1.6389003642087315e-06,2.760916109887438e-06,2.144205820471864e-06,8.76335340177034e-07,-1.2083112590511946e-07,2.96543824546232e-06,2.7079097690708815e-06,4.167129841161023e-06,3.1051287048321163e-06,2.360102868076197e-06,3.336460145459655e-06,4.447528108926448e-06,2.0068951601943526e-06,1.782760737874862e-06,1.9078934005606517e-06,1.0893956442532279e-06,7.843104491203352e-07,1.5565737033129758e-06,1.9825819272311875e-06,2.238919569291695e-06,2.2658441315180823e-06,3.371664752370129e-07,2.323748147605939e-06,2.947774539918641e-06,5.906365353947271e-07,2.7159911013588795e-06,1.7744067580168433e-06,1.5492405711118094e-06,2.9944392006368176e-06,2.3075897255189166e-06,1.57870670052726e-06,2.653656483112529e-06,1.2569923659500427e-06,2.7015221058765422e-06,2.341522386942419e-06,1.005541550963411e-06,1.6339281845417372e-06,1.4861135227137229e-06,2.5016295359632696e-06,2.892657272502288e-06,2.4243652062322855e-06,2.3144813046764854e-06,2.5699116685711955e-06,2.0904917346313513e-06,2.249152038997553e-06,1.9025238183732002e-06,1.3562239356158784e-06,2.354380381971681e-06,2.690730895248447e-06,3.02769713822126e-06,7.869438419190351e-07,3.6286831714633283e-07,3.527103343481978e-06,1.0238710197456466e-06,1.5441588328451844e-06,2.6189184720379552e-06,3.7783674130492216e-07,1.0558957723591338e-06,1.6596782723736026e-06,8.505539642353333e-07,2.1437932808642327e-06,1.373703240310357e-06,1.494257288855093e-06,2.2849364714020876e-06,2.6462581891531133e-06,1.8296541801222218e-06,1.5213673279187317e-06,2.3211024268462137e-06,9.174832665965701e-07,1.2675494786370648e-06,-1.8808177547830734e-08,-2.0527971174291413e-08,3.4451639936479436e-06,5.681715194581628e-07,1.5677578620628027e-06,3.4329209241459144e-06,1.436860280628227e-06,2.5210063736534578e-06,1.791904466353509e-06,1.954283846189356e-06,-1.6083942025386648e-07,1.5776787877969021e-06,1.0120735150714186e-06,3.352769579755599e-06,1.720418971555232e-06,2.254055365368099e-06,2.4979587359720427e-06,1.9804287648636554e-06,2.27899306111789e-06,2.8450127998958206e-06,1.2198558320062842e-06,3.701971124794404e-06,2.741895621635726e-06,2.8011897349244566e-06,1.139817913285786e-06,2.529185999665136e-06
0.06,2.8110193635717998e-05,5.32822316555638e-06,4.5557873201972835e-06,3.6015586661841993e-06,4.979527741560538e-06,4.111095903575442e-07,3.3946025506019963e-06,3.0383084953036357e-06,1.7103454298718266e-06,2.9983428046414597e-06,3.6618765998721085e-06,2.930540142707791e-06,2.856142992441379e-06,3.237155124179674e-06,3.2945526025783003e-06,1.763714002984339e-06,1.9628981379295384e-06,1.0963111964574312e-06,8.01675559189932e-07,2.5969938787287667e-06,2.3920324066670433e-06,4.339436210761963e-06,3.0538766407659334e-06,3.1487051273735116e-06,-2.500215048190497e-07,3.290374792466506e-06,8.815983554462688e-07,3.375413590884567e-06,2.6607108584072234e-06,1.5415412829228132e-06,6.210256164378781e-06,3.5839041152553117e-06,1.474290162162055e-06,2.164825035802802e-06,2.0953273067112983e-06,5.2456165058931576e-06,2.6957118391801755e-06,3.455781123018977e-06,3.7957881874785945e-06,-2.4423624084316385e-07,-1.0982670581567996e-06,5.090075033986236e-07,2.637290362207334e-06,2.884646940373703e-06,1.3900187609926016e-06,2.679405805516939e-06,2.5760560060639443e-06,1.078697987130306e-06,1.3720485699604761e-06,2.978850061396488e-06,1.2677840909358173e-06,3.4006856032574085e-06,4.242747380113187e-06,4.145126518766871e-06,4.3010846722400395e-06,3.1910671722912253e-06,3.4736352611615597e-06,4.4870746668350474e-06,4.797704844862033e-06,1.4810477143218172e-06,3.6421395944704803e-06,3.26087962387167e-06,2.869188117298355e-06,4.323654706172315e-06,4.2030033013889815e-06,1.8889571613051654e-06,3.319592055648584e-06,3.6678598835861213e-06,3.3613317207407098e-06,7.144743716479079e-07,7.693844813076484e-07,7.827801601127662e-07,4.0476069735689035e-06,3.322669031340107e-06,1.6042529591352118e-06,4.251373372779435e-06,2.5472379759392953e-06,2.958248456732994e-07,1.5302763465260063e-06,2.5309797942745596e-06,5.2379081801509666e-06,1.577532666976604e-06,2.2785924776184495e-06,1.669824535396829e-06,1.846982257216027e-06,-6.583165311094706e-08,2.0269865926021044e-06,3.0844871355899926e-06,4.997466082613096e-06,2.533254546288404e-06,1.3415231686798333e-06,3.935380326674573e-06,2.122403759273021e-06,3.1004816098770305e-06,-3.722433616524394e-08,4.050621483458303e-06,5.31802456606828e-06,3.175252328333048e-06,1.8033775111728297e-06,4.1831639797698e-06
0.07,9.667507540035885e-06,7.799341087769102e-06,5.33368658079632e-06,6.150137542438829e-06,7.3004837488750136e-06,6.992804566809725e-06,2.2938416801973968e-06,6.6507206607361814e-06,5.323008794061464e-06,3.219079072093245e-06,6.649955896170415e-06,2.6025841995838008e-06,9.168553629575636e-07,3.6573720375174135e-06,4.953656535725229e-06,2.588310536117275e-06,1.8757643990527793e-06,4.974155408381728e-06,9.595723153193563e-07,5.306892086672141e-06,2.506644564994252e-06,5.193820254841081e-06,3.5547555882790394e-06,6.037127359185984e-06,6.268741850331172e-06,4.774583210245798e-06,3.6410065705619702e-06,1.8884859337700219e-06,2.8456987552389666e-06,2.693395744857704e-06,3.255238637468168e-06,5.466961090259233e-06,3.247904514855201e-06,2.9794772050951157e-06,3.0120132339333526e-06,4.497530242701504e-06,4.696918636690408e-06,4.394713499062895e-06,3.498626972480149e-06,5.07544293827231e-06,7.186431303391585e-06,5.633493068090965e-06,3.7006922970599093e-06,6.748489068430601e-06,2.7042266130495364e-06,3.1077949040158495e-06,5.354148909117401e-06,3.836745596556808e-06,2.7019528651741573e-06,5.0686032936066095e-06,6.416228598283473e-07,2.823767630805346e-06,4.8436394147144584e-06,5.429068308341993e-06,4.298850973626411e-06,5.740934882042945e-06,4.14916691573531e-06,2.1696512442390834e-06,7.378338281723943e-06,2.9064792009485994e-06,2.852200742155674e-06,3.67016141031244e-06,5.293263867342049e-06,2.2486182744098127e-06,2.18196138172982e-06,2.3393484224737937e-06,1.102792832471303e-06,4.738558974929092e-06,1.9137939107520915e-06,2.4929900940241387e-06,1.8098846205916755e-06,4.7268617010102304e-07,5.9529905311452866e-06,1.932086335323059e-06,3.0371049721205416e-06,9.332316603006876e-06,7.01516843167871e-06,2.8589420217983105e-06,8.655417365553596e-06,4.7188290865670685e-06,6.795119711377957e-06,6.196627417595582e-06,5.240673079921361e-06,2.176458711342811e-06,2.9781476620321235e-06,3.5427208578432553e-06,6.876408540193842e-06,5.406475376221435e-06,2.8595311412650524e-06,3.894415866189953e-06,7.410533919548077e-06,3.484028910636269e-06,5.817994079685837e-06,3.5784042080319305e-06,2.969905120396864e-06,8.087893551478204e-06,5.847010821101946e-06,2.207184644168123e-06,6.074466996033653e-06,5.02079947877082e-06
0.08,4.099188002328477e-05,7.885011434010902e-06,1.5998107400678345e-05,2.749377304495049e-06,4.008779198805775e-06,1.8747518752299456e-06,4.390980212230279e-06,7.284737019744144e-06,8.615584809322775e-06,4.197233632273223e-06,6.558839603490292e-06,1.606950700114313e-06,5.866101947622762e-06,5.714438056880128e-06,7.157929841696179e-06,7.4505006429433945e-06,1.944649549158288e-06,6.50107969354959e-06,5.251241332490405e-06,3.2464873897118457e-06,5.9189358928516674e-06,4.701591063398843e-06,7.262108325178845e-06,8.338221592651564e-06,4.611612982665007e-06,4.112336454546293e-06,3.1168563798264247e-06,6.1788492440798925e-06,7.050583205418478e-06,4.404372026405565e-06,1.1207883568995545e-06,5.403688273939246e-06,2.9875754963856592e-06,2.9545216268777207e-06,5.014632388541241e-06,6.023439608238215e-06,1.6105985402184735e-05,5.693378152232012e-06,1.211869213802359e-05,3.1695641926127977e-06,-5.42232567453464e-07,7.519311197966111e-06,8.073328150025101e-06,4.717986029360946e-06,8.107684226641136e-06,5.501386555361323e-06,1.729174324466283e-06,8.249375237845448e-06,6.988151643680052e-06,7.458607026274243e-06,7.316989174708705e-06,5.664046351569791e-06,9.322203537207826e-07,1.879758784789518e-06,-1.684711106043334e-06,6.14300808063447e-06,1.613486573435943e-06,1.0256521731209728e-05,1.248419734324262e-06,3.9351200480504625e-06,2.279416857641592e-06,3.982105026186214e-06,1.2817962304802107e-05,7.487050482355604e-06,5.470073143347495e-06,3.8189925946534624e-06,5.763791115615421e-07,6.6232807569758944e-06,5.8733751840603165e-06,6.413180692683336e-06,9.37103732367304e-06,3.2417239885662356e-06,3.0303698179275315e-06,5.082189705473202e-06,6.367717052142912e-06,7.581500100127988e-06,6.490626704702965e-06,1.059291517176354e-05,8.048767370247022e-06,9.944759728685447e-08,8.89294147869454e-06,3.6480130387938792e-06,2.233718574460725e-06,3.858204799393511e-06,3.6448854002858855e-06,1.6927118735422807e-06,2.393507479828668e-06,3.63216019523584e-06,6.952655849220114e-06,2.7052331368438103e-06,1.1224887636710229e-05,4.4843153132853726e-06,4.3870562943275484e-06,1.0379097527488801e-05,2.7098907930023565e-06,2.863014405605334e-06,4.532817482654592e-06,5.2971868590712725e-06,3.0526047460716944e-06,5.439517472713809e-06
0.09,5.442448610731143e-05,1.4045831790200777e-05,1.574761838194214e-05,6.143926398526125e-06,1.98741474746932e-06,4.244437414148481e-06,5.8089953384648555e-06,3.656187853505251e-06,1.288013173794935e-05,1.6310505456004473e-05,5.684222135061535e-06,8.25544897184523e-06,4.248871145779605e-06,9.466617270202377e-06,1.2143944567983287e-05,7.676229274150127e-06,4.144186983114422e-06,1.2885214831674419e-05,5.466897209263034e-06,1.283521800077603e-05,5.416488109966781e-06,1.1993916683205929e-05,5.790674060306603e-06,8.905321981627386e-06,5.0807772116115715e-06,1.4662683474135647e-05,7.594687402806218e-06,9.57711087167431e-06,4.725190526527876e-06,4.7144768274459275e-06,4.553737645660184e-06,7.632212650439647e-06,6.626950919039915e-06,3.060749790060782e-06,5.484282583457571e-06,8.137899088130206e-06,1.342380736085967e-05,5.7067562287618995e-06,6.8312642376373685e-06,9.150083107963332e-06,2.9257185720089013e-06,1.2072369472303184e-06,6.125416618986869e-06,5.0029412955476606e-06,2.957632820425399e-06,6.4393364272423535e-06,6.723368811263361e-06,1.0433153232911851e-05,8.66072762487963e-06,5.294945588592593e-06,1.0325717904405823e-05,1.54094372196422e-06,1.0133934324679973e-05,5.593651142326184e-06,2.9154142960452314e-06,4.859402255430792e-06,8.124308601121518e-06,4.812317973790761e-06,7.99811159573565e-06,4.905378766033953e-06,4.509776120347663e-06,7.676985647273535e-06,8.814385055352499e-06,5.276727600273209e-06,3.4992951177810373e-06,9.322198696779924e-06,9.713440712248328e-06,9.329922361866125e-06,2.9178434701850765e-06,1.5455425197836572e-05,6.374442065177092e-06,7.026538901066662e-06,4.84570715521066e-06,3.4306768393820847e-06,8.812431057624704e-06,4.98192776215313e-06,3.7067896273722417e-06,4.749276769432371e-06,6.2856234597258734e-06,7.756747948493781e-06,6.432663730995097e-06,2.701215950990036e-06,3.6809713862675385e-06,3.1159306127859155e-06,-1.134560701226416e-06,9.199058073020066e-06,1.1997428507214323e-06,1.0584247558688298e-05,6.848991149155782e-06,9.200708185849296e-06,7.688297383162873e-06,6.944408240774121e-06,3.243338801204774e-06,7.791045784476374e-06,5.313897777507513e-06,5.356429763573552e-06,6.4727106311364596e-06,1.4232907192569378e-06,4.616117101178846e-06,9.027368374216991e-06
